block,x,y,width,height,rotated,original_width,original_height
b0,469,517,27,15,0,27,15
b1,336,487,27,16,0,27,16
b2,84,389,26,22,1,22,26
b3,110,410,45,21,1,21,45
b4,329,46,45,40,1,40,45
b5,444,487,26,16,1,16,26
b6,455,313,38,27,0,38,27
b7,366,257,35,29,0,35,29
b8,444,410,36,21,1,21,36
b9,493,313,25,44,1,44,25
b10,410,503,31,15,1,15,31
b11,192,341,41,24,0,41,24
b12,0,482,19,17,1,17,19
b13,128,160,33,48,0,33,48
b14,155,410,44,21,0,44,21
b15,247,503,34,15,0,34,15
b16,186,45,45,42,0,45,42
b17,43,86,41,37,0,41,37
b18,418,0,43,44,0,43,44
b19,245,365,23,36,1,36,23
b20,168,532,17,13,1,13,17
b21,156,286,44,28,1,28,44
b22,331,257,35,29,0,35,29
b23,74,470,40,17,0,40,17
b24,452,469,24,18,1,18,24
b25,288,257,43,29,1,29,43
b26,425,469,27,18,0,27,18
b27,418,85,40,38,1,38,40
b28,110,545,24,12,0,24,12
b29,491,256,29,30,0,29,30
b30,50,424,20,28,0,20,28
b31,121,208,36,32,1,32,36
b32,260,451,22,19,1,19,22
b33,329,0,45,46,0,45,46
b34,0,545,29,12,0,29,12
b35,84,545,26,12,1,12,26
b36,211,314,30,27,1,27,30
b37,29,545,29,12,1,12,29
b38,282,451,21,19,0,21,19
b39,447,542,13,12,1,12,13
b40,443,431,47,19,1,19,47
b41,70,432,19,36,1,36,19
b42,377,314,46,25,0,46,25
b43,405,410,39,21,0,39,21
b44,495,357,24,27,1,27,24
b45,89,365,25,24,1,24,25
b46,149,532,19,13,0,19,13
b47,374,45,42,40,0,42,40
b48,358,286,34,28,1,28,34
b49,0,341,48,24,1,24,48
b50,200,518,19,14,0,19,14
b51,219,518,16,14,1,14,16
b52,37,468,37,18,0,37,18
b53,409,544,36,12,0,36,12
b54,457,256,34,30,1,30,34
b55,241,314,31,26,1,26,31
b56,34,226,46,31,0,46,31
b57,0,0,48,47,1,47,48
b58,397,339,25,25,1,25,25
b59,276,85,47,38,0,47,38
b60,205,487,39,16,0,39,16
b61,157,226,45,31,1,31,45
b62,203,87,46,36,0,46,36
b63,458,122,46,36,1,36,46
b64,281,503,33,15,0,33,15
b65,84,532,23,13,1,13,23
b66,231,45,45,42,1,42,45
b67,79,518,33,14,1,14,33
b68,0,258,28,45,0,28,45
b69,106,314,36,27,0,36,27
b70,36,487,45,16,1,16,45
b71,0,226,34,32,0,34,32
b72,346,503,32,15,0,32,15
b73,231,544,46,12,1,12,46
b74,248,159,43,34,0,43,34
b75,261,431,37,20,1,20,37
b76,284,123,39,36,0,39,36
b77,345,451,40,18,0,40,18
b78,124,487,42,16,0,42,16
b79,64,323,40,25,0,40,25
b80,211,503,36,15,0,36,15
b81,378,503,32,15,1,15,32
b82,349,364,39,24,0,39,24
b83,323,86,41,37,1,37,41
b84,482,158,38,34,1,34,38
b85,291,159,43,34,1,34,43
b86,459,46,44,39,1,39,44
b87,236,0,48,45,1,45,48
