block,x,y,width,height,rotated,original_width,original_height
b0,178,26,43,33,0,43,33
b1,289,88,65,37,0,65,37
b2,86,376,53,34,0,53,34
b3,126,290,37,67,0,37,67
b4,16,15,29,19,0,29,19
b5,394,193,39,49,0,39,49
b6,409,383,40,18,0,40,18
b7,100,410,22,40,0,22,40
b8,92,127,50,62,0,50,62
b9,186,414,16,41,0,16,41
b10,61,12,52,18,1,18,52
b11,53,118,39,59,0,39,59
b12,62,57,28,61,1,61,28
b13,176,357,48,57,0,48,57
b14,221,198,63,43,0,63,43
b15,396,134,52,59,1,59,52
b16,354,226,36,57,0,36,57
b17,220,87,66,44,1,44,66
b18,88,194,48,51,0,48,51
b19,400,289,31,50,0,31,50
b20,409,364,37,19,0,37,19
b21,281,343,64,50,0,64,50
b22,113,46,49,34,0,49,34
b23,433,193,20,49,0,20,49
b24,198,144,28,45,1,45,28
b25,284,198,54,39,0,54,39
b26,165,97,55,40,0,55,40
b27,364,60,25,65,0,25,65
b28,345,342,46,39,1,39,46
b29,64,177,24,62,0,24,62
b30,371,12,24,26,0,24,26
b31,371,403,26,34,0,26,34
b32,73,283,53,43,1,43,53
b33,364,38,35,22,1,22,35
b34,122,410,54,27,1,27,54
b35,48,392,38,31,1,31,38
b36,226,131,39,67,0,39,67
b37,389,67,60,20,1,20,60
b38,373,135,23,57,0,23,57
b39,142,137,55,52,1,52,55
b40,342,403,29,26,1,26,29
b41,31,365,55,27,1,27,55
b42,2,178,62,53,0,62,53
b43,7,117,46,61,1,61,46
b44,265,131,47,65,1,65,47
b45,391,340,44,23,1,23,44
b46,397,403,22,39,1,39,22
b47,89,250,65,33,0,65,33
b48,56,30,57,27,0,57,27
b49,389,87,65,47,1,47,65
b50,255,294,67,32,0,67,32
b51,163,59,57,38,1,38,57
b52,7,231,54,45,0,54,45
b53,328,0,43,21,0,43,21
b54,431,279,18,61,0,18,61
b55,338,192,56,34,1,34,56
b56,29,392,17,63,0,17,63
b57,134,437,47,18,1,18,47
b58,113,12,46,34,0,46,34
b59,139,357,37,50,1,50,37
b60,182,3,40,23,0,40,23
b61,418,34,23,33,1,33,23
b62,399,7,19,60,1,60,19
b63,364,283,36,45,0,36,45
b64,92,80,50,47,0,50,47
b65,3,61,57,56,0,57,56
b66,136,189,67,61,0,67,61
b67,284,15,44,40,0,44,40
b68,221,35,63,52,1,52,63
b69,2,34,54,27,0,54,27
b70,322,294,42,42,1,42,42
b71,345,381,64,22,0,64,22
b72,281,393,61,61,1,61,61
b73,312,125,61,67,0,61,67
b74,0,317,42,38,1,38,42
b75,418,6,19,28,0,19,28
b76,143,104,22,33,0,22,33
b77,224,347,57,66,1,66,57
b78,235,413,36,32,0,36,32
b79,13,276,60,41,0,60,41
b80,205,189,16,58,0,16,58
b81,86,326,40,50,0,40,50
b82,163,290,57,47,1,47,57
b83,147,82,16,22,1,22,16
b84,342,21,22,67,1,67,22
b85,162,1,20,25,0,20,25
b86,390,242,56,37,0,56,37
b87,42,326,44,39,1,39,44
b88,61,239,24,37,1,37,24
b89,2,355,27,38,1,38,27
b90,202,414,33,39,1,39,33
b91,286,55,56,33,0,56,33
b92,45,4,16,26,1,26,16
b93,220,282,35,65,1,65,35
b94,223,241,59,41,1,41,59
b95,166,338,51,19,0,51,19
b96,154,250,66,40,1,40,66
b97,255,326,67,17,1,17,67
b98,222,13,62,22,1,22,62
b99,288,245,66,49,1,49,66
