block,x,y,width,height,rotated,original_width,original_height
b0,408,368,27,15,0,27,15
b1,288,109,16,27,1,27,16
b2,266,105,22,26,0,22,26
b3,467,65,21,45,0,21,45
b4,284,213,40,45,0,40,45
b5,0,117,16,26,0,16,26
b6,257,227,27,38,1,38,27
b7,518,233,29,35,1,35,29
b8,264,267,36,21,1,21,36
b9,115,363,44,25,0,44,25
b10,300,523,15,31,0,15,31
b11,300,258,24,41,1,41,24
b12,260,156,19,17,1,17,19
b13,242,173,33,48,0,33,48
b14,268,84,44,21,0,44,21
b15,446,382,15,34,1,34,15
b16,16,398,45,42,0,45,42
b17,382,260,37,41,1,41,37
b18,475,254,43,44,0,43,44
b19,289,319,23,36,1,36,23
b20,102,422,17,13,1,13,17
b21,214,175,28,44,0,28,44
b22,455,493,29,35,1,35,29
b23,477,227,40,17,0,40,17
b24,346,213,24,18,1,18,24
b25,129,2,43,29,1,29,43
b26,496,155,18,27,1,27,18
b27,488,392,40,38,1,38,40
b28,210,163,24,12,0,24,12
b29,324,241,29,30,0,29,30
b30,324,213,20,28,0,20,28
b31,178,162,32,36,0,32,36
b32,540,388,19,22,0,19,22
b33,185,500,45,46,0,45,46
b34,121,73,12,29,1,29,12
b35,294,385,12,26,0,12,26
b36,408,338,27,30,0,27,30
b37,489,298,12,29,0,12,29
b38,234,154,21,19,0,21,19
b39,114,216,13,12,1,12,13
b40,89,315,19,47,0,19,47
b41,149,510,36,19,0,36,19
b42,317,355,46,25,0,46,25
b43,460,110,21,39,1,39,21
b44,84,531,27,24,0,27,24
b45,503,32,24,25,0,24,25
b46,275,71,19,13,0,19,13
b47,467,430,42,40,0,42,40
b48,326,424,28,34,0,28,34
b49,484,512,48,24,1,24,48
b50,182,360,14,19,1,19,14
b51,353,128,16,14,1,14,16
b52,42,8,37,18,0,37,18
b53,256,405,36,12,0,36,12
b54,283,355,34,30,1,30,34
b55,21,236,26,31,0,26,31
b56,293,460,31,46,1,46,31
b57,386,16,47,48,0,47,48
b58,430,481,25,25,1,25,25
b59,45,440,38,47,1,47,38
b60,353,232,16,39,1,39,16
b61,312,310,31,45,0,31,45
b62,354,142,36,46,1,46,36
b63,279,136,36,46,0,36,46
b64,358,522,15,33,1,33,15
b65,280,460,13,23,0,13,23
b66,14,26,42,45,0,42,45
b67,221,0,33,14,1,14,33
b68,363,352,45,28,1,28,45
b69,525,115,27,36,1,36,27
b70,505,298,16,45,0,16,45
b71,354,30,32,34,1,34,32
b72,122,531,32,15,0,32,15
b73,548,410,12,46,0,12,46
b74,73,487,34,43,1,43,34
b75,435,362,37,20,1,20,37
b76,467,21,36,39,1,39,36
b77,364,380,40,18,0,40,18
b78,0,398,16,42,1,42,16
b79,73,275,25,40,1,40,25
b80,24,487,15,36,1,36,15
b81,74,403,15,32,0,15,32
b82,89,42,39,24,0,39,24
b83,91,0,37,41,0,37,41
b84,39,495,34,38,0,34,38
b85,324,458,34,43,0,34,43
b86,22,71,39,44,0,39,44
b87,354,400,48,45,1,45,48
b88,294,184,44,29,1,29,44
b89,2,75,20,42,0,20,42
b90,451,281,24,46,1,46,24
b91,56,182,21,43,1,43,21
b92,505,343,47,45,1,45,47
b93,306,424,20,24,0,20,24
b94,275,182,19,31,1,31,19
b95,197,264,37,44,1,44,37
b96,324,271,46,33,0,46,33
b97,472,349,15,40,1,40,15
b98,542,80,13,35,0,13,35
b99,433,4,40,17,0,40,17
b100,481,110,44,45,0,44,45
b101,509,458,36,30,1,30,36
b102,83,435,36,40,1,40,36
b103,403,112,34,34,1,34,34
b104,404,197,42,14,0,42,14
b105,18,157,35,33,0,35,33
b106,240,18,33,12,1,12,33
b107,0,173,15,32,1,32,15
b108,172,20,38,37,1,37,38
b109,140,104,46,42,1,42,46
b110,240,30,42,39,1,39,42
b111,68,343,21,13,1,13,21
b112,211,389,25,30,1,30,25
b113,197,308,24,36,1,36,24
b114,433,22,34,44,0,34,44
b115,107,475,22,34,1,34,22
b116,85,362,28,19,0,28,19
b117,315,163,39,21,0,39,21
b118,373,522,44,38,0,44,38
b119,223,69,45,28,1,28,45
b120,91,228,36,36,1,36,36
b121,370,196,34,38,0,34,38
b122,0,266,20,43,1,43,20
b123,20,283,23,36,0,23,36
b124,161,206,35,31,1,31,35
b125,404,383,42,46,1,46,42
b126,85,475,22,12,0,22,12
b127,15,319,25,43,0,25,43
b128,169,280,28,44,1,44,28
b129,232,97,34,22,0,34,22
b130,210,22,30,26,0,30,26
b131,175,433,45,48,1,48,45
b132,294,56,39,18,1,18,39
b133,488,349,15,43,0,15,43
b134,89,388,47,34,1,34,47
b135,163,161,15,45,1,45,15
b136,370,259,12,37,1,37,12
b137,0,238,21,28,0,21,28
b138,252,460,28,42,1,42,28
b139,514,155,36,37,0,36,37
b140,528,388,12,43,0,12,43
b141,450,198,45,19,1,19,45
b142,403,75,27,37,0,27,37
b143,362,5,24,25,0,24,25
b144,128,241,15,40,0,15,40
b145,188,546,45,13,1,13,45
b146,343,304,33,48,1,48,33
b147,98,265,30,42,0,30,42
b148,403,318,18,20,0,18,20
b149,507,0,47,22,0,47,22
b150,470,470,31,23,1,23,31
b151,3,448,42,18,1,18,42
b152,67,115,19,16,1,16,19
b153,43,267,30,41,1,41,30
b154,240,235,17,22,1,22,17
b155,130,216,14,25,1,25,14
b156,386,0,28,16,0,28,16
b157,339,380,25,20,1,20,25
b158,172,529,13,23,1,23,13
b159,488,60,32,44,1,44,32
b160,255,2,27,16,0,27,16
b161,404,212,46,47,0,46,47
b162,136,388,18,31,1,31,18
b163,435,259,33,22,0,33,22
b164,517,192,36,41,0,36,41
b165,197,198,17,21,1,21,17
b166,31,362,34,36,0,34,36
b167,392,476,36,37,0,36,37
b168,501,488,41,24,1,24,41
b169,16,133,39,24,1,24,39
b170,211,219,29,45,0,29,45
b171,159,360,22,40,0,22,40
b172,258,502,13,27,1,27,13
