block,x,y,width,height,rotated,original_width,original_height
b0,53,1727,33,43,1,43,33
b1,0,536,65,37,0,65,37
b2,0,1770,53,34,0,53,34
b3,0,161,67,37,1,37,67
b4,56,1522,19,29,1,29,19
b5,0,1976,49,39,1,39,49
b6,65,612,18,40,1,40,18
b7,42,2101,40,22,1,22,40
b8,0,864,62,50,1,50,62
b9,60,1049,16,41,0,16,41
b10,66,370,18,52,0,18,52
b11,0,1183,59,39,1,39,59
b12,0,1021,61,28,0,61,28
b13,0,1278,57,48,1,48,57
b14,0,768,63,43,0,63,43
b15,0,1090,59,52,0,59,52
b16,0,1411,57,36,1,36,57
b17,0,358,66,44,1,44,66
b18,0,1804,51,48,1,48,51
b19,55,1551,31,50,0,31,50
b20,57,1393,19,37,1,37,19
b21,0,666,64,50,0,64,50
b22,51,1804,34,49,1,49,34
b23,65,473,20,49,0,20,49
b24,57,1310,28,45,1,45,28
b25,0,1688,54,39,0,54,39
b26,0,1603,55,40,0,55,40
b27,0,641,65,25,1,25,65
b28,0,2015,46,39,1,39,46
b29,62,811,24,62,0,24,62
b30,54,1658,26,24,1,24,26
b31,53,1770,26,34,0,26,34
b32,0,1727,53,43,1,43,53
b33,61,1014,22,35,0,22,35
b34,59,1202,27,54,0,27,54
b35,55,1601,31,38,0,31,38
b36,0,122,67,39,1,39,67
b37,66,252,20,60,0,20,60
b38,62,873,23,57,0,23,57
b39,0,1551,55,52,1,52,55
b40,56,1496,29,26,1,26,29
b41,59,1147,27,55,0,27,55
b42,0,811,62,53,0,62,53
b43,0,975,61,46,0,61,46
b44,0,442,65,47,0,65,47
b45,61,930,23,44,0,23,44
b46,42,2123,39,22,0,39,22
b47,0,608,65,33,0,65,33
b48,59,1090,27,57,1,57,27
b49,0,489,65,47,1,47,65
b50,0,198,67,32,0,67,32
b51,0,1373,57,38,1,38,57
b52,0,1643,54,45,0,54,45
b53,65,569,21,43,1,43,21
b54,67,130,18,61,0,18,61
b55,0,1484,56,34,1,34,56
b56,67,67,17,63,0,17,63
b57,65,522,18,47,0,18,47
b58,50,1853,34,46,1,46,34
b59,0,1939,50,37,0,50,37
b60,61,974,23,40,1,40,23
b61,57,1430,23,33,1,33,23
b62,67,191,19,60,1,60,19
b63,50,1899,36,45,0,36,45
b64,0,1852,50,47,0,50,47
b65,0,1222,57,56,0,57,56
b66,0,0,67,61,0,67,61
b67,46,2015,40,44,1,44,40
b68,0,716,63,52,1,52,63
b69,57,1256,27,54,1,54,27
b70,44,2059,42,42,1,42,42
b71,64,666,22,64,1,64,22
b72,0,914,61,61,1,61,61
b73,0,61,67,61,1,61,67
b74,0,2093,42,38,1,38,42
b75,55,1639,28,19,1,19,28
b76,56,1463,22,33,0,22,33
b77,0,252,66,57,0,66,57
b78,50,1944,36,32,0,36,32
b79,0,1049,60,41,0,60,41
b80,66,312,16,58,0,16,58
b81,0,1899,50,40,1,40,50
b82,0,1326,57,47,1,47,57
b83,63,792,22,16,0,22,16
b84,0,230,67,22,0,67,22
b85,54,1698,20,25,0,20,25
b86,0,1447,56,37,0,56,37
b87,0,2054,44,39,1,39,44
b88,0,2131,37,24,0,37,24
b89,57,1355,27,38,1,38,27
b90,49,1976,33,39,1,39,33
b91,0,1518,56,33,0,56,33
b92,54,1682,26,16,0,26,16
b93,0,573,65,35,0,65,35
b94,0,1142,59,41,1,41,59
b95,66,422,19,51,1,51,19
b96,0,402,66,40,1,40,66
b97,67,0,17,67,0,17,67
b98,63,730,22,62,0,22,62
b99,0,309,66,49,1,49,66
