block,x,y,width,height,rotated,original_width,original_height
b0,43,1200,16,36,1,36,16
b1,41,1817,19,39,0,19,39
b2,0,1776,41,35,0,41,35
b3,0,324,47,18,1,18,47
b4,34,2627,26,32,0,26,32
b5,0,2500,35,31,0,35,31
b6,0,2877,29,13,0,29,13
b7,0,2890,28,21,0,28,21
b8,45,906,15,32,1,32,15
b9,0,573,46,34,0,46,34
b10,0,836,45,32,0,45,32
b11,46,409,14,36,0,14,36
b12,0,1547,42,36,1,36,42
b13,0,47,48,45,0,48,45
b14,43,1370,15,25,0,15,25
b15,0,402,46,45,1,45,46
b16,42,1575,18,22,0,18,22
b17,34,2561,26,33,1,33,26
b18,39,2118,19,34,1,34,19
b19,45,938,12,30,1,30,12
b20,0,2786,33,28,1,28,33
b21,0,1048,44,39,0,44,39
b22,0,2111,39,26,1,26,39
b23,0,1971,40,25,0,40,25
b24,33,2796,25,15,0,25,15
b25,0,2330,36,36,1,36,36
b26,0,1427,43,25,0,43,25
b27,45,839,15,34,1,34,15
b28,0,535,46,38,0,46,38
b29,48,82,12,37,0,12,37
b30,43,1292,17,27,0,17,27
b31,44,1126,16,37,1,37,16
b32,37,2190,23,32,0,23,32
b33,42,1511,18,36,0,18,36
b34,40,1895,19,38,0,19,38
b35,45,873,15,33,0,15,33
b36,43,1264,12,28,1,28,12
b37,43,1419,16,21,0,16,21
b38,34,2594,26,33,1,33,26
b39,0,1681,42,30,1,30,42
b40,0,1844,41,28,1,28,41
b41,42,1669,16,16,1,16,16
b42,0,1175,44,19,1,19,44
b43,0,1872,40,34,0,40,34
b44,33,2740,27,16,0,27,16
b45,46,372,14,37,0,14,37
b46,0,215,48,15,0,48,15
b47,37,2315,23,14,0,23,14
b48,33,2772,26,24,1,24,26
b49,0,1940,40,31,0,40,31
b50,0,1617,42,33,1,33,42
b51,0,169,48,27,1,27,48
b52,0,2254,37,27,1,27,37
b53,42,1639,18,17,1,17,18
b54,44,1006,16,43,1,43,16
b55,47,243,13,46,0,13,46
b56,0,2911,25,22,1,22,25
b57,0,196,48,19,1,19,48
b58,41,1776,19,41,0,19,41
b59,0,356,46,46,1,46,46
b60,0,2531,35,30,1,30,35
b61,0,2561,34,33,1,33,34
b62,0,765,45,37,1,37,45
b63,45,804,15,35,0,15,35
b64,0,0,48,47,1,47,48
b65,0,2756,33,30,1,30,33
b66,0,2846,31,31,1,31,31
b67,0,1087,44,37,0,44,37
b68,36,2402,24,35,1,35,24
b69,40,1933,19,38,0,19,38
b70,46,445,14,36,1,36,14
b71,0,1583,42,34,0,42,34
b72,0,2594,34,33,0,34,33
b73,42,1473,18,38,0,18,38
b74,31,2871,29,18,0,29,18
b75,33,2717,27,23,1,23,27
b76,46,2992,14,12,0,14,12
b77,43,1395,16,24,1,24,16
b78,0,1401,43,26,1,26,43
b79,40,2008,19,37,0,19,37
b80,46,2977,14,15,0,14,15
b81,38,2152,20,32,1,32,20
b82,0,2693,33,32,1,32,33
b83,39,2045,19,37,0,19,37
b84,0,1278,43,37,0,43,37
b85,0,132,48,37,0,48,37
b86,25,2931,24,24,1,24,24
b87,0,971,45,19,0,45,19
b88,0,1345,43,28,1,28,43
b89,48,191,12,35,0,12,35
b90,0,925,45,24,0,45,24
b91,0,1124,44,28,0,44,28
b92,0,1711,42,24,0,42,24
b93,0,1452,43,21,0,43,21
b94,42,1685,16,15,1,15,16
b95,0,2366,36,25,0,36,25
b96,0,900,45,25,1,25,45
b97,32,2814,28,25,1,25,28
b98,43,1319,16,26,0,16,26
b99,40,1971,20,37,1,37,20
b100,33,2692,27,25,0,27,25
b101,0,92,48,40,1,40,48
b102,0,2165,38,25,1,25,38
b103,0,2814,32,32,1,32,32
b104,0,2391,36,25,0,36,25
b105,0,1650,42,31,0,42,31
b106,0,2077,39,34,1,34,39
b107,0,990,45,16,0,45,16
b108,46,550,12,33,1,33,12
b109,48,2955,12,22,0,12,22
b110,0,1152,44,23,0,44,23
b111,42,1656,18,13,0,18,13
b112,0,662,46,18,1,18,46
b113,0,1373,43,28,0,43,28
b114,41,1856,19,39,1,39,19
b115,0,2224,37,30,0,37,30
b116,0,1473,42,37,1,37,42
