block,x,y,width,height,rotated,original_width,original_height
b0,214,250,43,33,0,43,33
b1,374,346,65,37,0,65,37
b2,50,250,53,34,0,53,34
b3,42,349,67,37,1,37,67
b4,55,327,29,19,0,29,19
b5,300,51,49,39,1,39,49
b6,399,383,40,18,0,40,18
b7,15,325,40,22,1,22,40
b8,112,153,62,50,1,50,62
b9,125,389,41,16,1,16,41
b10,77,5,52,18,1,18,52
b11,5,56,59,39,1,39,59
b12,112,406,61,28,0,61,28
b13,238,155,57,48,1,48,57
b14,269,285,63,43,0,63,43
b15,380,95,52,59,1,59,52
b16,272,351,57,36,1,36,57
b17,186,206,66,44,1,44,66
b18,6,151,51,48,1,48,51
b19,321,405,50,31,1,31,50
b20,180,8,37,19,0,37,19
b21,174,151,64,50,0,64,50
b22,1,249,49,34,0,49,34
b23,337,4,49,20,1,20,49
b24,276,406,45,28,0,45,28
b25,179,51,54,39,0,54,39
b26,113,286,55,40,0,55,40
b27,374,24,65,25,1,25,65
b28,393,49,39,46,0,39,46
b29,168,27,62,24,1,24,62
b30,155,64,24,26,0,24,26
b31,134,24,34,26,1,26,34
b32,60,284,53,43,1,43,53
b33,337,328,35,22,1,22,35
b34,230,24,54,27,1,27,54
b35,173,406,38,31,1,31,38
b36,233,51,67,39,1,39,67
b37,277,4,60,20,1,20,60
b38,284,28,57,23,1,23,57
b39,57,151,55,52,1,52,55
b40,211,406,29,26,1,26,29
b41,57,405,55,27,1,27,55
b42,57,98,62,53,0,62,53
b43,0,203,61,46,0,61,46
b44,309,203,65,47,0,65,47
b45,191,327,44,23,1,23,44
b46,38,5,39,22,0,39,22
b47,149,251,65,33,0,65,33
b48,0,405,57,27,0,57,27
b49,374,203,65,47,1,47,65
b50,371,405,67,32,0,67,32
b51,159,351,57,38,1,38,57
b52,132,205,54,45,0,54,45
b53,61,207,21,43,1,43,21
b54,338,386,61,18,1,18,61
b55,378,250,56,34,1,34,56
b56,38,386,63,17,1,17,63
b57,233,388,47,18,1,18,47
b58,103,250,46,34,0,46,34
b59,109,351,50,37,0,50,37
b60,235,328,40,23,0,40,23
b61,341,27,33,23,0,33,23
b62,217,5,60,19,0,60,19
b63,329,350,45,36,1,36,45
b64,82,203,50,47,0,50,47
b65,0,95,57,56,0,57,56
b66,119,90,67,61,0,67,61
b67,349,50,44,40,0,44,40
b68,295,151,63,52,1,52,63
b69,42,27,54,27,0,54,27
b70,227,285,42,42,1,42,42
b71,127,329,64,22,0,64,22
b72,186,90,61,61,1,61,61
b73,313,90,67,61,1,61,67
b74,0,347,42,38,1,38,42
b75,386,5,28,19,1,19,28
b76,94,327,33,22,1,22,33
b77,247,94,66,57,0,66,57
b78,240,406,36,32,0,36,32
b79,0,284,60,41,0,60,41
b80,280,387,58,16,1,16,58
b81,105,50,50,40,1,40,50
b82,252,203,57,47,1,47,57
b83,103,388,22,16,0,22,16
b84,372,324,67,22,0,67,22
b85,414,4,25,20,1,20,25
b86,216,351,56,37,0,56,37
b87,66,54,39,44,0,39,44
b88,5,32,37,24,0,37,24
b89,96,23,38,27,0,38,27
b90,332,289,33,39,1,39,33
b91,322,250,56,33,0,56,33
b92,12,16,26,16,0,26,16
b93,257,250,65,35,0,65,35
b94,168,286,59,41,1,41,59
b95,129,4,51,19,0,51,19
b96,365,284,66,40,1,40,66
b97,166,389,67,17,1,17,67
b98,275,328,62,22,1,22,62
b99,373,154,66,49,1,49,66
