block,x,y,width,height,rotated,original_width,original_height
b0,261,292,16,36,1,36,16
b1,31,167,19,39,0,19,39
b2,397,205,35,41,1,41,35
b3,412,54,18,47,0,18,47
b4,221,354,26,32,0,26,32
b5,401,102,31,35,1,35,31
b6,313,137,13,29,1,29,13
b7,81,137,21,28,1,28,21
b8,20,354,15,32,1,32,15
b9,130,8,34,46,1,46,34
b10,105,386,32,45,1,45,32
b11,337,292,14,36,0,14,36
b12,79,249,36,42,0,36,42
b13,306,54,45,48,1,48,45
b14,6,329,15,25,0,15,25
b15,85,8,45,46,0,45,46
b16,387,329,18,22,0,18,22
b17,351,354,26,33,1,33,26
b18,266,103,19,34,1,34,19
b19,209,354,12,30,1,30,12
b20,404,354,28,33,0,28,33
b21,288,387,39,44,1,44,39
b22,128,167,26,39,0,26,39
b23,116,206,25,40,1,40,25
b24,417,328,15,25,1,25,15
b25,277,292,36,36,1,36,36
b26,3,249,25,43,1,43,25
b27,4,102,15,34,1,34,15
b28,368,9,38,46,1,46,38
b29,174,292,12,37,0,12,37
b30,259,139,17,27,0,17,27
b31,78,167,16,37,1,37,16
b32,72,352,23,32,0,23,32
b33,144,292,18,36,0,18,36
b34,154,168,19,38,0,19,38
b35,310,354,15,33,0,15,33
b36,343,137,12,28,1,28,12
b37,263,329,16,21,0,16,21
b38,325,354,26,33,1,33,26
b39,289,206,30,42,0,30,42
b40,206,206,28,41,0,28,41
b41,112,329,16,16,1,16,16
b42,244,387,19,44,0,19,44
b43,341,208,34,40,1,40,34
b44,205,138,16,27,1,27,16
b45,67,292,14,37,0,14,37
b46,351,55,15,48,1,48,15
b47,206,329,14,23,1,23,14
b48,181,137,24,26,0,24,26
b49,9,207,31,40,1,40,31
b50,143,249,33,42,0,33,42
b51,279,54,27,48,0,27,48
b52,354,168,27,37,0,27,37
b53,171,329,17,18,0,17,18
b54,327,387,16,43,1,43,16
b55,406,8,13,46,0,13,46
b56,355,137,22,25,0,22,25
b57,218,54,19,48,0,19,48
b58,40,207,19,41,0,19,41
b59,137,55,46,46,1,46,46
b60,131,102,30,35,0,30,35
b61,34,103,33,34,0,33,34
b62,297,9,37,45,0,37,45
b63,161,102,15,35,0,15,35
b64,13,54,47,48,0,47,48
b65,179,353,30,33,0,30,33
b66,247,354,31,31,1,31,31
