block,x,y,width,height,rotated,original_width,original_height
b0,340,287,15,27,1,27,15
b1,324,286,16,27,1,27,16
b2,244,287,22,26,0,22,26
b3,425,87,21,45,0,21,45
b4,124,87,40,45,0,40,45
b5,14,287,16,26,0,16,26
b6,85,1,27,38,1,38,27
b7,442,314,29,35,1,35,29
b8,288,314,21,36,0,21,36
b9,0,242,25,44,1,44,25
b10,333,418,15,31,0,15,31
b11,152,133,24,41,1,41,24
b12,290,350,17,19,0,17,19
b13,163,39,33,48,0,33,48
b14,307,242,21,44,1,44,21
b15,466,417,15,34,1,34,15
b16,10,87,42,45,1,45,42
b17,334,452,37,41,1,41,37
b18,456,242,43,44,0,43,44
b19,265,314,23,36,1,36,23
b20,167,351,13,17,0,13,17
b21,225,243,28,44,0,28,44
b22,484,314,29,35,1,35,29
b23,371,133,17,40,1,40,17
b24,431,287,18,24,0,18,24
b25,315,494,29,43,0,29,43
b26,447,176,18,27,1,27,18
b27,442,133,38,40,0,38,40
b28,162,287,12,24,1,24,12
b29,210,174,29,30,0,29,30
b30,239,175,20,28,0,20,28
b31,111,205,32,36,0,32,36
b32,493,287,19,22,0,19,22
b33,136,371,45,46,0,45,46
b34,274,418,12,29,1,29,12
b35,481,286,12,26,0,12,26
b36,285,174,27,30,0,27,30
b37,436,352,29,12,1,12,29
b38,271,350,19,21,1,21,19
b39,180,350,12,13,0,12,13
b40,83,371,19,47,0,19,47
b41,129,314,19,36,1,36,19
b42,223,371,25,46,1,46,25
b43,328,0,21,39,1,39,21
b44,69,174,24,27,1,27,24
b45,407,286,24,25,0,24,25
b46,378,348,13,19,1,19,13
b47,485,494,40,42,1,42,40
b48,321,315,28,34,0,28,34
b49,513,39,24,48,0,24,48
b50,207,350,14,19,1,19,14
b51,416,350,14,16,0,14,16
b52,349,1,18,37,1,37,18
b53,309,314,12,36,1,36,12
b54,204,314,30,34,0,30,34
b55,32,418,26,31,0,26,31
b56,356,371,31,46,1,46,31
b57,392,39,47,48,0,47,48
b58,512,286,25,25,1,25,25
b59,45,371,38,47,1,47,38
b60,215,0,16,39,1,39,16
b61,187,87,31,45,0,31,45
b62,437,370,36,46,1,46,36
b63,248,371,36,46,0,36,46
b64,522,417,15,33,1,33,15
b65,211,290,13,23,0,13,23
b66,359,87,42,45,0,42,45
b67,348,418,14,33,0,14,33
b68,295,87,28,45,0,28,45
b69,385,205,27,36,1,36,27
b70,509,87,16,45,0,16,45
b71,383,314,32,34,1,34,32
b72,162,418,15,32,1,32,15
b73,525,87,12,46,0,12,46
b74,97,494,34,43,1,43,34
b75,365,205,20,37,0,20,37
b76,335,133,36,39,1,39,36
b77,247,133,18,40,1,40,18
b78,1,494,16,42,1,42,16
b79,11,133,25,40,1,40,25
b80,2,205,15,36,1,36,15
b81,95,418,15,32,0,15,32
b82,304,1,24,39,1,39,24
b83,392,452,37,41,0,37,41
b84,0,0,34,38,0,34,38
b85,417,494,34,43,0,34,43
b86,328,242,39,44,0,39,44
b87,256,39,45,48,0,45,48
b88,266,242,29,44,0,29,44
b89,466,349,42,20,1,20,42
b90,401,87,24,46,1,46,24
b91,131,494,21,43,1,43,21
b92,439,40,45,47,0,45,47
b93,224,288,20,24,0,20,24
b94,255,418,19,31,1,31,19
b95,100,242,37,44,1,44,37
b96,323,371,33,46,1,46,33
b97,427,133,15,40,1,40,15
b98,471,314,13,35,0,13,35
b99,388,133,17,40,1,40,17
b100,465,87,44,45,0,44,45
b101,471,205,30,36,0,30,36
b102,36,133,36,40,1,40,36
b103,349,314,34,34,1,34,34
b104,433,452,14,42,1,42,14
b105,74,314,33,35,1,35,33
b106,375,418,12,33,0,12,33
b107,80,418,15,32,1,32,15
b108,178,1,37,38,0,37,38
b109,181,371,42,46,0,42,46
b110,378,494,39,42,0,39,42
b111,128,350,13,21,0,13,21
b112,133,175,25,30,1,30,25
b113,87,206,24,36,1,36,24
b114,390,242,34,44,0,34,44
b115,107,314,22,34,1,34,22
b116,93,176,19,28,1,28,19
b117,231,0,21,39,1,39,21
b118,499,242,38,44,1,44,38
b119,267,87,28,45,0,28,45
b120,51,206,36,36,1,36,36
b121,252,1,34,38,0,34,38
b122,17,494,20,43,1,43,20
b123,51,314,23,36,0,23,36
b124,148,314,31,35,0,31,35
b125,473,371,42,46,1,46,42
b126,74,287,12,22,1,22,12
b127,37,494,25,43,0,25,43
b128,38,242,28,44,1,44,28
b129,286,418,22,34,1,34,22
b130,259,174,26,30,1,30,26
b131,55,39,45,48,1,48,45
b132,286,0,18,39,0,18,39
b133,470,494,15,43,0,15,43
b134,102,371,34,47,0,34,47
b135,164,242,15,45,1,45,15
b136,171,205,12,37,1,37,12
b137,13,175,21,28,0,21,28
b138,306,452,28,42,1,42,28
b139,367,2,36,37,0,36,37
b140,525,494,12,43,0,12,43
b141,446,87,19,45,0,19,45
b142,338,204,27,37,0,27,37
b143,383,287,24,25,0,24,25
b144,94,134,15,40,0,15,40
b145,253,242,13,45,0,13,45
b146,196,39,33,48,1,48,33
b147,61,451,30,42,0,30,42
